"order_name","common_name","adult_mouthparts","wings_no_type","number_species_worldwide","reference_sequencing_priority","notes_1","ann_specimens","key_families","kunz_1995","whitaker_1996","long_1998","lee_2005","mcwilliams_2005","krauel_2018","from_corky","notes_2"
"Trichoptera","Caddisflies","Chewing","2 pair, hairy or with scales","14,500","2","","","","","","known prey of Yuma myotis","","","1 OTU","",""
"Ephemeroptera","Mayflies","Vestigial","2 pair, may be reduced, membranous","3,000","2","","1?","","","","known prey of Yuma myotis","","","3 OTUs","",""
"Arachnida (not insects! not in Wheeler)","Spiders, mites","Chewing","Lacking","48,200","2","","","","","","","undet. Araneae","undet. Araneae","","",""
"Mantodea","Mantids","Chewing","0-2 pair","2,400","3","","2","","","","","","","","",""
"Mecoptera","Scorpionflies","Chewing","0-2 pair","600","3","","","","","","","","","","",""
"Plecoptera","Stoneflies","Chewing","2 pair, membranous","3,500","3","","","","","","","","","","",""
"Psocoptera","Book and bark lice","Chewing","0-2 pair","5,500","4","","","","","","","","","","",""
"Zoraptera","Angel insects","Chewing","0-2 pair","44","4","","","","","","","","","","",""
"Blattodea","Cockroaches","Chewing","0-2 pair","4,400","4","Isoptera (termites) is part of Blattodea","","","","","","","","","",""
"Dermaptera","Earwigs","Chewing","0-2 pair; front wings elytra","2,000","4","weak, short flight","","","","","","","","","",""
"Embiidina","Web spinners","Chewing","0-2 pair; membranous","400","4","mostly tropical and subtropical","","","","","","","","","",""
"Strepsiptera","Twisted-winged parasites","???","0-2(1) pair","600","4","endoparasites of other insects","","","","","","","","","",""
"Thysanoptera","Thrips","Rasping, sucking","2 pair, fringed with hairs","6,000","4","weak flight but important ag pests","","","","","","","","","",""
"Collembola","Springtails","Chewing","Lacking","","5","","","","","","","","","","",""
"Diplura","Diplurans","Chewing","Lacking","","5","","","","","","","","","","",""
"Grylloblattodea","Rock crawlers","Chewing","Lacking","","5","","","","","","","","","","",""
"Mantophasmatodea","","Chewing","Lacking","","5","","","","","","","","","","",""
"Microcoryphia","Jumping bristletails","Chewing","Lacking","","5","","","","","","","","","","",""
"Phthiraptera* - several suborders
Amblycera
Ischnocera
Anoplura","Lice","Chewing, piercing","Lacking","","5","","","","","","","","","","",""
"Protura","Proturans","Chewing","Lacking","","5","","","","","","","","","","",""
"Siphonaptera","Fleas","Piercing-sucking","Lacking","","5","","","","","","","","","","",""
"Thysanura","Bristletails, silverfish","Chewing","Lacking","","5","","","","","","","","","","",""
"Phasmatodea","Walkingsticks","Chewing","variable, 0-2 pair; tegmina","","5","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","",""
