ID,Project,Collecition_Date,Cell_Location,Replicate,Collection_Site,Cell_Type,Collectors,Vessel,Site_Start,Site_End,Niskin_Closed,Waypoint,Lat,Lon,Conditions,SST_F,Rugosity,Site_Depth_ft,Appr_Niskin_Line_Out,Niskin_depth_probe,Temp_at_Depth,Filter_Type,Filter_Pore_um,Filtration_Date,Filtration_Time,Filterer,Filtration_Site,Turbidity,pH,Vol_L,Notes,eDNA_Sample_Status,Extracted,SU_Serial
CCNANeg202148FNC1,CCFRP,2021-08-04,Field Neg Control,FNC1,,,,,,,,,,,,,,,,,,Sterivex,0.45,2021-08-05,12:15:00,"KY, AH",Cole A,,,2.5,,1,2021-09-20,
CCSP07202178A,CCFRP,2021-08-07,Cell 7,A,SP,MPA,"KY, KM",R/V Huli Cat,,,9:10:00,136,,,,51,3,50,50,,,Sterivex,0.45,2021-08-07,19:44:00,AH ,BML dorm parking lot,1.25,,2.5,"small chance 7 and 17 switched, see FNC2 note",1,2021-09-20,69
CCSP07202178B,CCFRP,2021-08-07,Cell 7,B,SP,MPA,"KY, KM",R/V Huli Cat,,,9:45:00,142,,,,55,3,51,50,,,Sterivex,0.45,2021-08-07,20:03:00,AH ,BML dorm parking lot,1.29,,2.5,,1,2021-09-20,70
CCSP07202178C,CCFRP,2021-08-07,Cell 7,C,SP,MPA,"KY, KM",R/V Huli Cat,,,10:15:00,151,,,,51.5,3,57,60,,,Sterivex,0.45,2021-08-07,20:20:00,AH ,BML dorm parking lot,1.21,,2.5,,1,2021-09-20,71
CCSP08202178A,CCFRP,2021-08-07,Cell 8,A,SP,MPA,"KY, KM",R/V Huli Cat,,,11:25:00,155,,,,52.5,2,107,100,,,Sterivex,0.45,2021-08-07,19:48:00,AH ,BML dorm parking lot,1.27,,2.5,,1,2021-09-20,74
CCSP08202178B,CCFRP,2021-08-07,Cell 8,B,SP,MPA,"KY, KM",R/V Huli Cat,,,11:56:00,159,,,,53.4,3,88,100,,,Sterivex,0.45,2021-08-07,20:08:00,AH ,BML dorm parking lot,0.81,,2.5,,1,2021-09-20,75
CCSP08202178C,CCFRP,2021-08-07,Cell 8,C,SP,MPA,"KY, KM",R/V Huli Cat,,,12:25:00,162,,,,52.3,3,101,100,,,Sterivex,0.45,2021-08-07,20:33:00,AH ,BML dorm parking lot,0.75,,2.5,,1,2021-09-20,76
CCSP17202178A,CCFRP,2021-08-07,Cell 17,A,SP,REF,"KY, KM",R/V Huli Cat,,,13:27:00,166,,,,54.6,3,87,100,,,Sterivex,0.45,2021-08-07,19:51:00,AH ,BML dorm parking lot,1.08,,2.5,,1,2021-09-20,78
CCSP17202178B,CCFRP,2021-08-07,Cell 17,B,SP,REF,"KY, KM",R/V Huli Cat,,,13:55:00,168,,,,54.4,3,58,60,,,Sterivex,0.45,2021-08-07,20:15:00,AH ,BML dorm parking lot,1.21,,1,not sure why only 1L in bottle,1,2021-09-20,79
CCSP17202178C,CCFRP,2021-08-07,Cell 17,C,SP,REF,"KY, KM",R/V Huli Cat,,,14:16:00,171,,,,54.7,3,54,60,,,Sterivex,0.45,2021-08-07,20:25:00,AH ,BML dorm parking lot,1.37,,2.5,,1,2021-09-20,80
CCNANeg202178FNC2,CCFRP,2021-08-07,Field Neg Control,FNC2,,,,R/V Huli Cat,,,,,,,,,,,,,,Sterivex,0.45,2021-08-07,19:28:00,AH ,BML dorm parking lot,,,2.5,in bag with cell 7 not cell 17- I don't think this is a problem but see cell 7 notes,1,2021-09-20,
CCNANeg2021209ENC1,CCFRP,2021-09-20,Extraction Neg Control,ENC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2021-09-20,
CCSP03202188A,CCFRP,2021-08-08,Cell 3,A,SP,MPA,"KY, AH",R/V Huli Cat,,,8:45:00,179,,,,58.6,3,60,6,,,Sterivex,0.45,2021-08-09,10:03:00,"KY, AH",Cole A,1.1,,2.3,,1,2021-09-23,81
CCSP03202188B,CCFRP,2021-08-08,Cell 3,B,SP,MPA,"KY, AH",R/V Huli Cat,,,9:24:00,186,,,,53.6,3,80,60,,,Sterivex,0.45,2021-08-10,10:23:00,"KY, AH",Cole A,0.55,,2.7,,1,2021-09-23,82
CCSP03202188C,CCFRP,2021-08-08,Cell 3,C,SP,MPA,"KY, AH",R/V Huli Cat,,,9:55:00,191,,,,53.9,3,97,100,,,Sterivex,0.45,2021-08-11,10:44:00,"KY, AH",Cole A,0.58,,2.7,,1,2021-09-23,83
CCSP09202188A,CCFRP,2021-08-08,Cell 9,A,SP,MPA,"KY, AH",R/V Huli Cat,,,10:30:00,193,,,,54.1,3,61,60,,,Sterivex,0.45,2021-08-12,10:03:00,"KY, AH",Cole A,0.54,,2.65,,1,2021-09-23,84
CCSP09202188B,CCFRP,2021-08-08,Cell 9,B,SP,MPA,"KY, AH",R/V Huli Cat,,,10:53:00,199,,,,54.4,3,94,100,,,Sterivex,0.45,2021-08-13,10:27:00,"KY, AH",Cole A,0.83,,2.65,,1,2021-09-23,85
CCSP09202188C,CCFRP,2021-08-08,Cell 9,C,SP,MPA,"KY, AH",R/V Huli Cat,,,11:13:00,203,,,,54.6,2,60,60,,,Sterivex,0.45,2021-08-14,10:53:00,"KY, AH",Cole A,0.67,,2.7,,1,2021-09-23,86
CCSP12202188A,CCFRP,2021-08-08,Cell 12,A,SP,REF,"KY, AH",R/V Huli Cat,,,12:02:00,207,,,,55.4,3,66,70,,,Sterivex,0.45,2021-08-15,10:03:00,"KY, AH",Cole A,1.1,,2.65,,1,2021-09-23,87
CCSP12202188B,CCFRP,2021-08-08,Cell 12,B,SP,REF,"KY, AH",R/V Huli Cat,,,12:25:00,209,,,,55.7,3,81,85,,,Sterivex,0.45,2021-08-16,10:27:00,"KY, AH",Cole A,0.92,,2.6,,1,2021-09-23,88
CCSP12202188C,CCFRP,2021-08-08,Cell 12,C,SP,REF,"KY, AH",R/V Huli Cat,,,12:46:00,211,,,,55.7,3,50,50,,,Sterivex,0.45,2021-08-17,10:53:00,"KY, AH",Cole A,0.62,,2.7,,1,2021-09-23,89
CCSP19202188A,CCFRP,2021-08-08,Cell 19,A,SP,REF,"KY, AH",R/V Huli Cat,,,13:19:00,215,,,,56.9,3,80,85,,,Sterivex,0.45,2021-08-18,11:19:00,"KY, AH",Cole A,0.5,,2.6,,1,2021-09-23,90
CCSP19202188B,CCFRP,2021-08-08,Cell 19,B,SP,REF,"KY, AH",R/V Huli Cat,,,13:45:00,220,,,,56.5,3,120,100,,,Sterivex,0.45,2021-08-19,11:34:00,"KY, AH",Cole A,0.58,,2.7,,1,2021-09-23,91
CCSP19202188C,CCFRP,2021-08-08,Cell 19,C,SP,REF,"KY, AH",R/V Huli Cat,,,14:08:00,223,,,,56.5,3,86,95,,,Sterivex,0.45,2021-08-20,11:50:00,"KY, AH",Cole A,0.51,,2.6,,1,2021-09-23,92
CCNANeg202188FNC3,CCFRP,2021-08-08,Field Neg Control,FNC3,,,"KY, AH",R/V Huli Cat,,,,,,,,,,,,,,Sterivex,0.45,2021-08-09,11:07:00,"KY, AH",Cole A,,,2.5,NC put through niskin,1,2021-09-23,
CCNANeg2021239ENC2,CCFRP,2021-09-23,Extraction Neg Control,ENC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2021-09-21,
